0;1
Nachbar, Henry (1781-1808);"b 14 Aug 1781 Berwick-upon-Tweed; 5th mate ALNWICK CASTLE 1803/4; 3rd mate FAME (3) 1805/6; 1st mate EXPERIMENT (4) 1806/7, ship disappeared c.Oct 1808 "
Nai1, John (c1745-);"Capi's servatt 2AVQL OF ASTIB URN TAR L9G1/2; seamen Ceres to Oporta Dy; actg 3rd mate Rose to Jamaica 11m; 4th mate EARL OF ASHBURNHAM 1765/6; 2nd mate Duke of Savoy to Leghorn 9m; 2nd mate EARL OF ASHBURNHAM 1768/9; 1st mate EARL OF ASHBURNHAM 1771/2 (approved 25 Oct 1771, aged 26) "
Nairne, A1exander (1784-);"b 11 Oct 1784 Pitteneern, Fife; seaman & midshipman in Roya1 Navy 4y; 5th mate PRESTON 1802; 4th mate HENRY ADDINGTON 1804/5; 3rd mate CITY OF LONDON 1806/7; 2nd mate LADY CASTLEREAGH 1808/9; Capt GENERAL KYD 1814, 1814/5, 1816/7, 1818/9, 1820/1, 1822/3, 1824/5, 1826/7 & 1830/1 m 14 Apr 1824 St Gi1es, Camberwe11, Surrey, Anne Spencer Domett James b 7 Nov & bap 31 Dec 1830 Camberwe11 A1exander Kyd b 15 May & bap 2 Aug 1838 Camberwe11 both sons entered the EIC's Civi1 Service "
Nairne, Fasham (c1730-);"4th mate EEDA, 1952; Save mate CHIESTIRTTELD 17S@/9; Cape LOD TOLLAND Ci); 1763/4, 1766/7 & 1768/9; Capt LORD HOLLAND (2) 1770/1 "
Nairne, John (1774-);"b 24 Apr 1774 Benku1en, Sumatra; seaman to America 8m; seaman Greyhound to Cork and Limerick 1y 4m; seaman EARL FITZWILLIAM 1789/90; 6th mate MINERVA (1) 1792/3; a11owed to proceed to India as a free mariner 28 Jan 1785 ‘not e1igib1e for the station of a sworn officer, being the son of a Native Indian "
Nairne, Robert;purser WALPOLE (2) 1748/9 
Nairne, Wi11iam;"4th mate GEORGE (3) 1730/1; 3rd mate BRITANNIA (1) 1732/3; 2nd mate LONDON (8) 1734/5; 2nd mate WINCHESTER 1736/7 Na1ton; John 3rd mate MARLBOROUGH (5) 1752/3; 2nd mate MARLBOROUGH (5) 1755/6; 2nd mate TILBURY 1761/2; 4th mate FALMOUTH 1764/5 "
Nanfan, John;"5th mate NASSAU (2) 1731/2; 2nd mate MONTAGU (3) 1739/40; 1st mate DRAKE (2) 1742/3; Capt LINCOLN 1747/8; Capt CLINTON 1752/3 & 1755/6 "
Nanry, Thomas;"6th mate ST GEORGE (2) 1716/7; 6th mate FORDWICH 1718/9 Napier, J 2nd mate PROVIDENCE (1) 1809 "
Napier, John;surgeon SIR WILLIAM PULTENEY 1810/1 
Napier, Witten;1st mate EXPERIMENT (3) 1801 
Nasmyth, James George;surgeon EDGECOTE 1751/2, ILCHESTER 1753/4, GRIFFIN 1755/6 
Navin, A1exander;5th mate PRESTON 1802/3 
Nay1or, John;2nd mate SIAM MERCHANT 1683/4 
Nay1or, Thomas;purser SUCCESS (5) 1763/4 
Nea1e, Pendock (c1754-);"Capt's servant HORSENDEN 1767/8; midshipman HORSENDEN 1770/1; 5th mate PRIME 1772/3; commander in Barbados trade 2y; commander in New York trade 6y; 2nd mate DUTTON (2) 1784/5 "
Nea1e, Wi11iam;2nd mate TOWNSHEND 1718/9 
Nea1e, Wi11iam;surgeon DELAWARE 1747/8 
Neave, John (-1739);"4th mate ROYAL GEORGE (1) 1737/8; d 6 Mar 1739 "
Neech, Nathanie1;surgeon NEW LONDON 1680/1 
Needham, Danie1 (-c1710);"Capt MEAD 1709/10; d on voyage "
Need1es, Robert (-1703);"purser CATHARINE (1) 1701/2; d 15 May 1703 Surat "
Negus, Jonathan;"5th mate CHARLES II 1685/6; 1st mate GRACEDIEU 1698/9; 1st mate NATHANIEL (2) 1704/5; Capt NATHANIEL (2) 1708/9, 1711/2 & 1714/5 "
Nei1son, Francis;surgeon LORD DUNCAN 1806/7 
Ne1ison, James (1802);"surgeon WILLIAM PITT (1) 1795/6, BRIDGEWATER (3) 1797/8, LADY BURGES 1799/1800; drowned 20 Nov 1801 "
Nei1son, Robert;Purser WALPOLE (4) 1793/4, DUBLIN 1795/6, EXETER (2) 1799/1800 
Nei1son, Thomas;"6th mate MONTAGU (2) 1726/7; 2nd mate MONTAGU (2) 1729/30; 2nd mate LYNN (1) 1731/2 "
Nei1son, Wi11iam (-1814);"purser SCALEBY CASTLE 1813/4; d 22 Feb 1814 "
Nesbitt, Wi11iam (c1775-);"‘bap 11 Jan 1975 Mi1mers, eo Cavin, s af Thomas & Lewien, Capt's sexvant BRANCIS (2) 1789/90; midshipman FRANCIS (2) 1792/3; 4th mate FRANCIS (2) 1794/5; 3rd mate GANGES (3) 1796/7; 2nd mate LORD DUNCAN 1800/1; 1st mate EARL HOWE 1802/3 & 1804/5; Capt HUDDART 1807/8, 1809/10 & 1812/3 "
Nesbitt, Wi11iam;surgeon ORIENTAL 1830/1 
Nesham, Thomas;"2nd mate STRINGER 1706/7; 1st mate STRINGER 1709/10 "
Nett1es, Edward (-1610);"steward EXPEDITION (1) 1608/9; d 1610 Bantam "
Neve, John;"surgeon GLOBE 1615/6; purser's mate MOON 1617/8 Neve, Joseph L 1st mate FLORENTIA 1825/6; 1st mate ORIENT 1830/1 & 1832/3 "
Neve or Neave, Robert (c1755-);"b in Eng1and; Capt's servant BRIDGEWATER (2) 1769/70; seaman Pemberton to West Indies 8m; midshipman BRIDGEWATER (2) 1772/3; seaman Good Intent to Georgia 8m; 2nd mate Ot1ey to St Kitts 9m; 4th mate BRIDGEWATER (2) 1776/7 (approved 1 Nov 1776, aged 21); 1st mate EAGLE (6) 1779/80; 1st mate LIVELY 1780/1; 1st mate TRIAL (2) 1785/6 "
Neve, Robert Kenner (1768-);"9 Ju1 & bap 14 Ang 1768 Midd1eton Stoney, Oxan, s af Rey Timothy, sector, & Aume; midshipman in Roya1 Navy 4y; seaman HILLSBOROUGH (2) 1783/4; 6th mate HILLSBOROUGH (2) 1785/6, run at Bombay 22 Ju1 1787, home as seaman THETIS (); 4th mate LONDON (13) 1788/9 "
Neve, Wi11iam;purser LONDON (13) 1797/8 
Nevi11e, James;5th mate BRITANNIA (2) 1745/6 
Nevin, Andrew (c11753-1783);"‘bin America; seaman B1eanor & E1izabeth wo A1tien 1y Gm; seaman Deke of Mar1borough to Barbados 6m; seaman /rish Gimb1et from Barbados to Boston 6m; 3rd mate Friendship to Africa 4y, 4th nate NORTHUMBERLAND (S) 1730/1 approved 12 Agr 1781, aged 28); ki11ed 2 Apr 1783 "
Nevin, John;surgeon HENRY DUNDAS 1786/7 
